Question,Answer,Label
"Define photosynthesis.","Photosynthesis is how plants use sunlight to convert carbon dioxide and water into glucose and oxygen through light-dependent reactions in the thylakoids and the Calvin cycle in the stroma. The overall equation is 6CO2 + 6H2O + light → C6H12O6 + 6O2.","Deep"
"Define photosynthesis.","Photosynthesis is how plants make food using sunlight.","Shallow"
"Explain gravity.","Gravity is the force of attraction between objects with mass, described by Newton as F = Gm1m2/r². It keeps planets in orbit and causes objects to accelerate toward Earth at 9.8 m/s² because of the planet's large mass.","Deep"
"Explain gravity.","Gravity is a force that pulls objects down.","Shallow"
"What is a virus?","A virus is a non-living infectious agent consisting of genetic material (DNA or RNA) enclosed in a protein capsid. It replicates only inside host cells by hijacking cellular machinery, which is why antibiotics are ineffective against viral infections.","Deep"
"What is a virus?","A virus is something that makes you sick.","Shallow"
"What is osmosis?","Osmosis is the passive movement of water molecules across a semi-permeable membrane from a region of lower solute concentration to higher solute concentration, driven by the concentration gradient until equilibrium is reached.","Deep"
"What is osmosis?","Osmosis is when water moves through a membrane.","Shallow"
"Explain Newton's second law.","Newton's second law states that the net force on an object equals mass times acceleration (F=ma). This means a heavier object requires more force for the same acceleration. If net force is zero, the object moves at constant velocity — which underpins inertia.","Deep"
"Explain Newton's second law.","F equals ma. Force is mass times acceleration.","Shallow"
"What causes climate change?","Climate change is primarily driven by the enhanced greenhouse effect. Human activities — burning fossil fuels, deforestation, and agriculture — release CO2 and methane, which trap outgoing infrared radiation, raising global temperatures and disrupting weather patterns and sea levels.","Deep"
"What causes climate change?","Climate change is caused by pollution and global warming.","Shallow"
"Who wrote Hamlet?","Hamlet was written by William Shakespeare around 1600–1601. It is one of his greatest tragedies, exploring themes of revenge, mortality, and moral corruption through Prince Hamlet's quest to avenge his father's murder by his uncle Claudius.","Deep"
"Who wrote Hamlet?","William Shakespeare wrote Hamlet.","Shallow"
"What is the Pythagorean theorem?","The Pythagorean theorem states that in a right-angled triangle, the square of the hypotenuse equals the sum of squares of the other two sides: a² + b² = c². It is used to calculate distances in geometry, navigation, and physics.","Deep"
"What is the Pythagorean theorem?","a squared plus b squared equals c squared.","Shallow"
"Explain natural selection.","Natural selection is Darwin's mechanism of evolution. Organisms with heritable traits better suited to their environment survive and reproduce more successfully, passing those traits to offspring. Over generations, advantageous traits increase in frequency, leading to adaptation and potentially speciation.","Deep"
"Explain natural selection.","Natural selection is survival of the fittest. Strong animals survive.","Shallow"
"What is an atom?","An atom is the basic unit of matter, consisting of a nucleus containing protons and neutrons surrounded by electrons in energy shells. The number of protons defines the element. Atoms bond by sharing or transferring electrons to reach stable configurations.","Deep"
"What is an atom?","An atom is the smallest particle of matter.","Shallow"
"What is supply and demand?","Supply and demand is an economic model describing how the price and quantity of goods are determined in a market. When demand exceeds supply, prices rise; when supply exceeds demand, prices fall. The equilibrium price is where the supply and demand curves intersect.","Deep"
"What is supply and demand?","Supply and demand means prices go up when things are scarce.","Shallow"
